Female,Male,Cultivar
Merit,L62-973,ND801
Wilkin,L62-361,ND803
(BD21115*SRF 150),(Merit*Anoka),ND851
Wilkin,L62-361,ND852
(BD21115*SRF 150),(Merit*Anoka),ND854
Wilkin,L62-361,ND855
Wilkin,L62-361,ND861
Wilkin,L62-361,ND862
Wilkin,L62-361,ND863
Wilkin,L62-361,ND864
Wilkin,L62-361,ND865
Wilkin,L62-361,ND866
Wilkin,L62-361,ND867
Wilkin,L62-361,ND868
Evans,Bicentennial,ND88-686
Maple Amber,Evans,ND88-800
McCall,Maple Ridge,ND89-1112
Sigco KG20,M81-18,ND91-2721
ND92-2381 (3),Resnik RR,ND92-2381RR
KG20,Maple Donovan,ND93-5849
Agassiz,Pioneer P9061,ND93-6064
Pioneer P9061,Evans,ND93-6247
Wilkin,NA,ND941
M90-665,ND88-800,ND95-1215
Parker,Pioneer P9061,ND95-1564
Alpha,OT90-9,ND95-6634
Barnes (3),(Council*Resnik RR),ND95-931C RR
ND88-800,Pioneer P9061,ND95-938 &nbsp;
ND88-800,Pioneer P9061,ND95-952
ND88-800,Pioneer P9061,ND95-955
ND88-800,Pioneer P9061,ND95-958 &nbsp;
Glacier,Council,ND96-1006
ND88-800,Council,ND96-8811
Glacier,Lambert,ND97-1211
SD92-1323,M90-370,ND98-2252
M91-564,Pioneer P9092,ND99-0408
M91-564,Pioneer P9092,ND99-0413
SD92-1323,Jim,ND99-1002
M91-564,Pioneer P9092,ND99-2608
M91-564,Pioneer P9092,ND99-2621
M91-564,ND93-5849,ND99-3315
ND93-5849,Pioneer P9004,ND99-N2282
Merit,SRF 100,NDI019
MSBP1,MSBP1,NE1900
MSBP2,MSBP2,NE2801
Unspecified,Unspecified,NE2802
Colfax,A91-701035,NE3001
MSBP3F6,MSBP3F6,NE3202
Unspecified,Unspecified,NE32022
MSBP1,NA,NE3400
C1432,C1430,Nebsoy
introduction,NA,Nemashirazu
BSR 101,CN210,Newton
Unspecified,Unspecified,NEX2403K2R
Unspecified,Unspecified,NEX2803Y3R
Unspecified,Unspecified,NEX3301H1R
Unspecified,Unspecified,NIAR 040303
Forrest,Union,Nile
Corsoy,Wayne,Northrup King 9436
Williams,Essex,Northrup King RA-452
Corsoy,Wayne,Northrup King S1244
A55-4629-4,PI 257435,Northrup King S1346
Hark,Wayne,Northrup King S1474
Corsoy,Wayne,Northrup King S1492
(Mack*Corsoy*Pride B216 (2)),(Northrup King S1492*Lee 74),Northrup King S15-50
Northrup King S1492 (4),Tracy,Northrup King S18-84
Pride B216,Pella,Northrup King S19-90
Unspecified,Unspecified,Northrup King S20-12
Pride B152,CM497,Northrup King S20-20
Unspecified,Unspecified,Northrup King S20-91
Unspecified,Unspecified,Northrup King S20-F8
Pride B216,Hodgson,Northrup King S23-03
Pride B152,CM497,Northrup King S23-12
Asgrow A3127,((IVR 1120*Calland)*(Mitchell*Cutler 71)),Northrup King S24-92
Northrup King S18-84,Matsoy,Northrup King S26-06
Unspecified,Unspecified,Northrup King S29-18
Unspecified,Unspecified,Northrup King S32-23
Northrup King S39-99,Asgrow A3127,Northrup King S35-35
Unspecified,Unspecified,Northrup King S38-T8
Fayette,Northrup King S42-30,Northrup King S39-11
Northrup King S1492,Mack,Northrup King S39-99
Beeson,Cutler,Northrup King S40-55
Essex,AgriPro 35,Northrup King S42-30
MO2050,Asgrow A5474,Northrup King S42-32
Pioneer P9303,Asgrow A4715,Northrup King S42-H1
Unspecified,Unspecified,Northrup King S43-B5
Asgrow A5474,Asgrow A3127,Northrup King S46-44
Coker 485,(Coker 76-927*Epps),Northrup King S59-60
Unspecified,Unspecified,Northrup King S59-95
Coker 82-645,(Coker 82-645*D77-6056),Northrup King S75-55
Unspecified,Unspecified,Northrup King S83-30
Unspecified,Unspecified,Northrup King S92-1598
Williams,Essex,RA-452
N6202 ,G98SF114,NLM09-52
N6202,G98SF114,NLM09-77
N7103,PI 366122,NMS4-1-83
N7103,PI 366122,NMS4-175-709
N7103,PI 366122,NMS4-19-243
N7103,PI 366122,NMS4-37-308-1
N7103,PI 366122,NMS4-52-390
N7103,PI 366122,NMS4-6-10
N7103,PI 366122,NMS5-101-2-203
N7103,PI 366122,NMS5-11-1-4
N7103,PI 366122,NMS5-111-6
N7103,PI 366122,NMS5-253-1-537
Introduction,NA,No. 171
Hawkeye,Flambeau,Norchief
Acme,Hardome,Norman
Ozzie,Proto,Norpro
Unknown,NA,Norsoy
Unspecified,Unspecified,NRS5Y
Unspecified,Unspecified,Ns-Kasna
N94-7440,N7101,NTC02AXB-717
Unspecified,Unspecified,NTC93PR-646
Dillon,Tamahikari,NTCPR01-163
GaSoy17,Vance,NTCPR90-143
Nakasennari,Young,NTCPR92-40
D74-9806,Nakasennari,NTCPR92-5
Young,Suzuyataka,NTCPR92-64
Young,Suzuyataka,NTCPR93-283
Young,Suzuyataka,NTCPR93-646
Davis,N73-1102,NTCPR94-5157
Young,N73-1102,NTCPR94-5237
Forrest,Bay,NTCPR94-5293
N77-179,Forrest,NTCPR94-5483
N77-179,Forrest,NTCPR94-5491
Young,Tanbaguro,NTCPR96-1215
Pagoda,NA,O-17
Manchu,NA,O-200
Strain 171,A.K. (Harrow),O-255
Harosoy 63,C1270,O-378-28
Capital,Hardome,O-4323
Hardome,Adams,O-4456
Mandarin (Ottawa),(A.K. (Harrow)*Korean),O-671
Mandarin (Ottawa) (2),A.K. (Harrow),O3-33
Pagoda,Mandarin (Ottawa),O48-36
A.K.,Pagoda,O50-11
F8-291,Mandarin,O51-318
F8-291,Mandarin,O51-322
Blackhawk,Mandarin (Ottawa),O52-710
A45-251,Flambeau,O52-793
PI 194654,NA,O52-903
Blackhawk,Capital,O55-2065
Blackhawk,Capital,O56-2678
Adams,A43K-884,O57-2824
Adams,A43K-884,O57-2826
Blackhawk,Capital,O57-2905
Blackhawk,Capital,O57-2909
(Blackhawk*Capital),JA42,O57-2921
O57-2921,NA,O57-2921-M
O57-2921,NA,O57-2921-O
PI 180501,NA,O60-3396
Harosoy 63,Holmberg 840-7-3,O73-15
Mandarin (Ottawa),Holmberg 827-4,O73-5
OAC Bayfield,(OT89-16*OAC Shire),OAC 00-01
OAC Atwood,OAC Vision,OAC 00-09
OAC Erin,OAC Wingham,OAC 00-11
ND(M)90-705,NA,OAC 01-12
OAC Bayfield,OAC Millennium,OAC 01-15
OAC 96-06,M91-821,OAC 01-26
OAC Stratford,OAC97-07,OAC 02-31
OAC 97-01,OAC Walton,OAC 03-07
OT99-2,OAC00-17,OAC 05-21
Habaro,NA,OAC 211
(Lincoln*Flambeau),Goldsoy,OAC 85
OAC Thames,NA,OAC 88-09
OAC Eclipse,OT84-12,OAC 92-01
RCAT Angora,Haroson,OAC 94-11
OT89-18,OAC Shire,OAC 95-06
KG20,OAC Exeter,OAC 97-01
OAC Exeter,OAC 92-01,OAC 97-02
Y3916F38,M84-916,OAC 97-07
OAC Auburn,M84-748,OAC 97-11
OAC Frontier,ND88-686,OAC 98-01
92546-01td,OAC Bayfield,OAC 98-12
M88-207,OAC92-08,OAC 99-21
OAC Bayfield,Marcus BC,OAC 99-36
Unspecified,Unspecified,OAC Atwood
Talon,OAC Scorpio,OAC Auburn
KG 60,Bicentennial,OAC Bayfield
Unspecified,Unspecified,OAC Bright
KG 60,Bicentennial,OAC Brussels
Maple Arrow,Williams,OAC Eclipse
Unspecified,Unspecified,OAC Erin
A83-172007,M75-25,OAC Exeter
Pioneer P1677,Maple Arrow,OAC Frontier
FH 31-3,Evans,OAC Libra
Unspecified,Unspecified,OAC Millennium
McCall,Bicentennial,OAC Scorpio
A80-147002,Asgrow A1895,OAC Shire
Unspecified,Unspecified,OAC Stratford
Harcor,OX621,OAC Thames
Bicentennial,Ozzie,OAC Vision
Unspecified,Unspecified,OAC Walton
Unspecified,Unspecified,OAC Wingham
Fiskeby V,Harosoy 63,OAC-22-815
A92-525014,OAC Vision,OAC00-17
Fiskeby V,Harosoy 63,OAC81-2
FH 31-3,Evans,OAC82-07
(Lincoln*Flambeau),Goldsoy,OAC85
Maple Arrow,Williams,OAC86-07
Bicentennial,Ozzie,OAC88-01
Unspecified,Unspecified,OAC88-09
OAC86-07,OT84-12,OAC92-08
Y3916F38,M84-916,OAC97-07
L66L-137,Calland,Oakland
Unspecified,Unspecified,OD032-3118
Tokyo,PI 54610,Ogden
LS301,HS84-6247,Ohio FG1
Chief,Arksoy,OK 710
Forrest,Essex,OK88-5409
Douglas,Essex,OK88-5420
Bedford,Essex,OK89-5602
Bedford,Mitchell,OK89-5606
Coker 156,Essex,OK89-5618
Essex,Gail,OK89-6001
Miles,Forrest,OK92-6508
Miles,Lee 74,OK92-6520
Miles,Lee 74,OK92-6524
Sohoma,Forrest,OK93-5907
Forrest,R85-3280,OK96-7006
Unspecified,Unspecified,OK963
Introduction,NA,Oka Daizu
Scott (6),Blackhawk,Oksoy
E84108,Conrad,Olympus
Introduction,NA,Ontario
PA4-11g1,Ripley,OR5-12-1T
Unspecified,Unspecified,ORC 0302
Hodgson,FH22-815,ORC 8703
A81-151026,Eglin,ORC 9002
Conrad,RCAT Alliance,ORC 9205
ORC 8703,Northrup King S26-06,ORC 9404
PS 42,Northrup King S20-20,ORC 9803
Pioneer P9273,Pride B152,ORC 9808
OAC Brussels,(E85073*Maple Glen),ORC 9902
Wells II,Williams,ORC8502
M73-62,FH31-3,ORC8601
HC77-878,A79-138024,ORC8605
Pride B152,Thompson T8112,ORC8801
Pride B152,HW8039,ORC8803
A80-147002,Pride B152,ORC8805
Pride B152,Jewel,ORC9001
Unspecified,Unspecified,ORC9002
Conrad,RCAT Alliance,ORC9201
Conrad,RCAT Alliance,ORC9205
Harosoy 63,Holmberg 840-1-3,OT73-15
Holmberg 840-7-3,(Harosoy 63*Altona),OT80-1
Fiskeby III,Evans,OT80-12Y
Holmberg 744-2,L62-667 (2),OT80-16
(M62-173*Holmberg 827-4),(Evans*CM145),OT80-18 &nbsp;&nbsp;
Maple Presto,Evans,OT80-2
(Amsoy*Portage),Holmberg 840-7-3,OT80-3
Holmberg 744-2,L62-667 (2),OT81-5
Maple Presto,Evans,OT81-6
Maple Arrow,Harcor,OT83-4
BD22115-13,Premier,OT84-12
Maple Arrow,Wayne,OT84-14
Maple Arrow,Wayne,OT84-14BR
Evans (3),Holmberg 840-7-3,OT84-4
231-4-5-1,McCall,OT84-7
Evans (4),Holmberg 840-7-3,OT85-5
Coles,DO-9-2-1-2,OT86-1
(Maple Presto*Williams),Weber,OT86-5
(Maple Presto*Williams),Weber,OT86-6
(Evans (2)*Holmberg 840-7-3),L62-667,OT86-9
McCall,Maple Amber (2),OT87-12
(Thompson T7803*BK-17-1-4),McCall,OT87-4
(Maple Presto*Williams),Weber,OT87-7
(Maple Presto*Williams),Weber,OT87-8
BD22115-13,Weber,OT88-1
Maple Ridge,Lakota,OT88-11
((Holmberg 840-7-3*Evans (2))*Maple Arrow),Weber,OT88-2
McCall,Maple Amber (2),OT88-8
AC Proteus,NA,OT89-16
Maple Arrow,X881-57,OT89-18
OX611,Maple Presto,OT89-24
(Thompson 7803*BD22115-13),McCall,OT90-9
(Maple Presto*Evans),OX611,OT91-3
Baron,Maple Donovan,OT92-8
Unspecified,Unspecified,OT93-28
(AC Bravor*RAGT86L579),AC Harmony,OT99-2
PI 548479,NA,Otootan
Chippewa,NA,Ottawa
Mandarin,NA,Ottawa Mandarin
C3S1-57,C3S1-53,OX-85242-3
C3S1-62,C3S1-53,OX-85251-16
C3S1-71,C3S1-69,OX-85284-4
Unspecified,Unspecified,OX-8601-1
OX-8601-1,OX-85284-4,OX-89182-2-1
OX-85242-3,OX-85251-16,OX-89194-1-8
Hodgson,M75-2,OX-Hodgson 1cHm
Corsoy,OX383,OX271
Corsoy,Harosoy 63,OX383
Unknown,Unknown,OX611
(Harcor*(((M61-96*Hobbit 87)(4) *Blackhawk)*Midwest)),((((Corsoy*L59-738) (3)*Corsoy) (2)*L57-738)),OX621
Blackhawk,Harosoy 63,OX643
Harosoy,Higan,OX720-26
HW79116,HW79022,OX8016-16
Unspecified,Unspecified,OX99128
OX-89182-2-1,OX-89194-1-8,OXC-9227-4
OX-89182-2-1,OX-89194-1-8,OXC-9227-7
Hodgson (3),M75-2,OXHodgson Ie Hm
(Harosoy*PI 567642A),Flint,OXR-96201
Defiance,(Harosoy*PI 567642A),OXR-96202
Northrup King S29-18,PI 274421,OXR-96243
Resnik RR,HS93-1882-41,OXR961095
Holladay,DPL 415,Ozark
Unspecified,Unspecified,Ozark RR2Y
Wilkin,M63-217Y,Ozzie
M82-806,HHP,P02-60
Unspecified,Unspecified,P1
Introduction,NA,P449
Asgrow A3127,PI 273483,P5096-03D
Unspecified,Unspecified,P6
Corsoy,(Magna*Provar),P61-22
Asgrow A3127,PI 273483,P6906-16
Unpsecified,Unspecified,P6917-29
Acme,Blackhawk,P71-39
Unspecified,Unspecified,P9441
(Wilson (6)*Forrest),(Perry*L76-0253),PA4-11g1
Devine,NA,PABU2-2
Manitoba Brown,Mandarin,Pagoda
Unspecified,Unspecified,Pagoda 2
Unspecified,Unspecified,Pagoda 25
PI 71587,NA,Palmetto
Jack,Asgrow A3205,Pana
Introduction,NA,Pando
A79-136012,Dawson,Parker
PI 7218-2,NA,Patoka
Unspecified,Unspecified,Patterson
G80-1515,Vance,Pearl
Introduction,NA,Peking
PI 95727,NA,Pelican
Unspecified,Unspecified,Pelican #1
Unspecified,Unspecified,Pelican #2
L66L-137,Calland,Pella
Pella (5),Williams 82,Pella 86
Manchuria 13-177,NA,Pennsoy
Williams,Essex,Pennyrile
Coker 488,Braxton,Perrin
Patoka,L37-1355,Perry
D67-3297,Essex,Pershing
(Clark*Chippewa 64),Corsoy,Peterson 0877
Rampage,Corsoy (2),Peterson 1677
Provar,(Amsoy*PI 248404),Peterson 85
P61-22,Wells,Peterson Px20
Unspecified,Unspecified,PH9718
Forrest,V71-480,Pharaoh
Introduction,NA,PI 103419
Introduction,NA,PI 104881
Introduction,NA,PI 123440
Introduction,NA,PI 132207
Introduction,NA,PI 153293
Introduction,NA,PI 153296
Introduction,NA,PI 157440
Introduction,NA,PI 157483
Unknown,Unknown,PI 159025
Introduction,NA,PI 159319
Unknown,Unknown,PI 1594166
Introduction,NA,PI 159925
Unknown,Unknown,PI 168508
Introduction,NA,PI 171442
Introduction,NA,PI 171445
Introduction,NA,PI 171450
Introduction,NA,PI 171451
Introduction,NA,PI 179826
Introduction,NA,PI 180501
Introduction,NA,PI 181537
Introduction,NA,PI 181550
Introduction,NA,PI 187155
Introduction,NA,PI 189930
Introduction,NA,PI 189950
Introduction,NA,PI 19186
193-7-27,Blackeye Edible,PI 194633
Pagoda 2,201-8-29,PI 194644
Introduction,NA,PI 194645
Pagoda 2,201-14-20,PI 194654
Introduction,NA,PI 196163
Introduction,NA,PI 196176
Introduction,NA,PI 196177
Introduction,NA,PI 196491
Introduction,NA,PI 200492
Introduction,NA,PI 20405
Introduction,NA,PI 20798
Introduction,NA,PI 209332
(P449*Dixie),Nanda,PI 221717
Introduction,NA,PI 227328
Introduction,NA,PI 227333
Introduction,NA,PI 227557
Unknown,Unknown,PI 229332
Introduction,NA,PI 229358
Introduction,NA,PI 230970
Introduction,NA,PI 230977
Introduction,NA,PI 23211
Introduction,NA,PI 240664
Introduction,NA,PI 248404
Introduction,NA,PI 248406
Introduction,NA,PI 253665 D
192,614,PI 257436
Introduction,NA,PI 261467
Introduction,NA,PI 261475
Introduction,NA,PI 273483
Introduction,NA,PI 27890
Introduction,NA,PI 28019
Unknown,Unknown,PI 28050
Introduction,NA,PI 283331
Introduction,NA,PI 290126 B
Introduction,NA,PI 291322
Introduction,NA,PI 297515
Introduction,NA,PI 297518
Introduction,NA,PI 297544
Introduction,NA,PI 30593
Introduction,NA,PI 341243
Introduction,NA,PI 358323
Introduction,NA,PI 360844
Introduction,NA,PI 361064
Introduction,NA,PI 361066 A
Introduction,NA,PI 361088 B
Introduction,NA,PI 36653
Introduction,NA,PI 36846
Introduction,NA,PI 370059
Introduction,NA,PI 37062
Introduction,NA,PI 37330
Introduction,NA,PI 37335
Introduction,NA,PI 379621
Introduction,NA,PI 381668
Introduction,NA,PI 384469 A
Introduction,NA,PI 391594
Introduction,NA,PI 398223
Introduction,NA,PI 398833
Introduction,NA,PI 398881
Introduction,NA,PI 398976
Introduction,NA,PI 399045
Introduction,NA,PI 399073
Introduction,NA,PI 404157
Introduction,NA,PI 404188A
Introduction,NA,PI 407710
Introduction,NA,PI 407720
Introduction,NA,PI 407948
Introduction,NA,PI 408251
Introduction,NA,PI 408337
Introduction,NA,PI 408339
Introduction,NA,PI 416937
Introduction,NA,PI 417021
Introduction,NA,PI 417088
Introduction,NA,PI 417288
Introduction,NA,PI 417409
Introduction,NA,PI 423905
Introduction,NA,PI 424195 B
Introduction,NA,PI 427099
Introduction,NA,PI 427136
Introduction,NA,PI 436682
Introduction,NA,PI 437169B
Introduction,NA,PI 437645
Unknown,Unknown,PI 43765
Introduction,NA,PI 437654
Introduction,NA,PI 437655
Introduction,NA,PI 437666
Introduction,NA,PI 437726
Introduction,NA,PI 437833
Introduction,NA,PI 437851 A
Introduction,NA,PI 437883
Introduction,NA,PI 438025
Introduction,NA,PI 438151
Introduction,NA,PI 438205 B
Introduction,NA,PI 438206
Introduction,NA,PI 438302 B
Introduction,NA,PI 438328
Introduction,NA,PI 438473
Introduction,NA,PI 445830
Introduction,NA,PI 445837
Introduction,NA,PI 458511
Introduction,NA,PI 459025
Introduction,NA,PI 467313
Introduction,NA,PI 468377
840-2-7,751-8-1-15,PI 470930
Introduction,NA,PI 471931
Introduction,NA,PI 471938
Unknown,Unknown,PI 479767
Unknown,Unknown,PI 483461
Introduction,NA,PI 50523
Introduction,NA,PI 506852
Introduction,NA,PI 507079
Introduction,NA,PI 507354
Introduction,NA,PI 507471
Introduction,NA,PI 507681 B
Ns-Kasna,Beeson,PI 518751
Introduction,NA,PI 524993
Introduction,NA,PI 54563
Introduction,NA,PI 54563-3
Introduction,NA,PI 54592
Introduction,NA,PI 54610
Unknown,Unknown,PI 54610-3
Introduction,NA,PI 54615-1
Williams 82 (6),PI 230970,PI 547878
Williams 82 (6),PI 459025,PI 547879
Introduction,NA,PI 548443
Introduction,NA,PI 548451
Introduction,NA,PI 548473
Introduction,NA,PI 548479
Unknown,Unknown,PI 549046
Introduction,NA,PI 561370
Introduction,NA,PI 567516 C
Introduction,NA,PI 567642 A
Introduction,NA,PI 574486
Introduction,NA,PI 587982 A
Introduction,NA,PI 593953
Introduction,NA,PI 594172
Introduction,NA,PI 597402
Introduction,NA,PI 603756
Introduction,NA,PI 60406
Introduction,NA,PI 65338
Introduction,NA,PI 65344
Introduction,NA,PI 65393
Introduction,NA,PI 65394
Introduction,NA,PI 6556
Introduction,NA,PI 68430
Introduction,NA,PI 68474
Introduction,NA,PI 68508
Introduction,NA,PI 68522
Introduction,NA,PI 68577-3
Introduction,NA,PI 68600
Introduction,NA,PI 68623-1
Introduction,NA,PI 68644-2
Introduction,NA,PI 68658
Introduction,NA,PI 68666
Introduction,NA,PI 68708
Introduction,NA,PI 68788
Introduction,NA,PI 70218-2
Introduction,NA,PI 70218-2-19-3
Introduction,NA,PI 70218-2-6-11
Introduction,NA,PI 70218-2-6-13
Introduction,NA,PI 70218-2-6-15
Introduction,NA,PI 70218-2-6-20
Introduction,NA,PI 70218-2-6-21
Introduction,NA,PI 70218-2-6-23
Introduction,NA,PI 70459
Introduction,NA,PI 70478
Introduction,NA,PI 71506
Introduction,NA,PI 71525
Introduction,NA,PI 71587
Introduction,NA,PI 71608
Introduction,NA,PI 71659
Introduction,NA,PI 71663
Introduction,NA,PI 71664
Unknown,Unknown,PI 7218-2
Introduction,NA,PI 79610
Introduction,NA,PI 79885
Introduction,NA,PI 80462
Introduction,NA,PI 80471
Introduction,NA,PI 80475
Introduction,NA,PI 80837
Introduction,NA,PI 81021
Introduction,NA,PI 81041
Introduction,NA,PI 81043
Introduction,NA,PI 82263-2
Introduction,NA,PI 83945-4
Introduction,NA,PI 8424
Introduction,NA,PI 84637
Introduction,NA,PI 84642
Introduction,NA,PI 84666-1
Introduction,NA,PI 84928
Introduction,NA,PI 84946-2
Introduction,NA,PI 85355
Introduction,NA,PI 85559
Introduction,NA,PI 85897
Introduction,NA,PI 86024
Introduction,NA,PI 86050
Introduction,NA,PI 86736
Introduction,NA,PI 86972-1
Introduction,NA,PI 86974
Introduction,NA,PI 87066
Introduction,NA,PI 88310
Introduction,NA,PI 88447-2
Introduction,NA,PI 88788
Introduction,NA,PI 89075
Introduction,NA,PI 89152
Introduction,NA,PI 89775A
Introduction,NA,PI 90566
Introduction,NA,PI 90566-1
Introduction,NA,PI 90763
Unknown,Unknown,PI 90763R
Introduction,NA,PI 91109
Introduction,NA,PI 91110-1
Introduction,NA,PI 91120
Introduction,NA,PI 91161
Introduction,NA,PI 91730 -1
Introduction,NA,PI 92470
Introduction,NA,PI 92592
Introduction,NA,PI 92717
Introduction,NA,PI 92718-2
Introduction,NA,PI 93057
Introduction,NA,PI 93058
Unknown,Unknown,PI 95719-1
Introduction,NA,PI 95727
Introduction,NA,PI 96035
Introduction,NA,PI 96089
Introduction,NA,PI 96354
Introduction,NA,PI 96983
Introduction,NA,PI 96989
Introduction,NA,PI 97066
(D49-2491 (6)*Dorman),(Lee (4)*Peking),Pickett
Pickett,Lee,Pickett 71
Provar,(AX56P64-1*PI 91110-1),Pike
(Clark*Chippewa 64),Corsoy,Pioneer P0877
Rampage,Corsoy (2),Pioneer P1677
Unspecified,Unspecified,Pioneer P1951
Unspecified,Unspecified,Pioneer P1963
(PI 80471*PI 86050),(Williams 79 (2)*Asgrow A3127),Pioneer P5096-03D
Unspecified,Unspecified,Pioneer P6061
(PI 80471*PI 86050),(Williams 79*Asgrow A3127),Pioneer P6906-16
Unspecified,Unspecified,Pioneer P6917-29
Unspecified,Unspecified,Pioneer P7273
Unknown,Unknown,Pioneer P7293
Unspecified,Unspecified,Pioneer P8902
Maple Ridge,Lakota,Pioneer P9004 &nbsp;&nbsp;
PI 92718-2,Pioneer P9271,Pioneer P9268-003
Unspecified,Unspecified,Pioneer P9268-03
Unspecified,Unspecified,Pioneer P9403
(Dyer*Forrest),J74-45,Pioneer P9571
Unspecified,Unspecified,Pioneer XB27U01
Unspecified,Unspecified,Pioneer XB28V99
Unspecified,Unspecified,Pioneer XB29D01
Unspecified,Unspecified,Pioneer XB31Z01
Unspecified,Unspecified,Pioneer YB280
Williams,Ransom,Pixie
Amsoy 71,C1421,Platte
C1266,C1265,Pomona
Acme,Comet,Portage
Unspecified,Unspecified,PR 9817
Corsoy,Wayne,Premier
Schechinger S48,Land O Lakes Max,Preston
Coker 82-622,Howard,Prichard
Prichard,MON RR,Prichard RR
Northrup King S1346 (6),Mack,Pride B152
Pride B216 (6),(Mack*Corsoy),Pride B203
Corsoy,Wayne,Pride B216
Northrup King S1346,AgriPro 25,Pride B236
Unknown,Unknown,Pridesoy
Pridesoy,NA,Pridesoy 57
Unspecified,Unspecified,Pridesoy II
(Coker 82-622*Howard),MON RR,Pritchard-RR
A50-7401,A50-6838,Prize
Unspecified,Unspecified,PRO 25-53
Westag 97,RCAT Calico,PRO 30-15
Northrup King S24-92,Pioneer P9305,PRO 3170
Spencer,Resnik,Probst
Hark,PI 68430,Profiseed 1138
HC94-81PR,Asgrow A2506,Prohio
Various,NA,Prolina
Unspecified,Unspecified,ProSoy PS104
CX291-42-1,CX258-2-3-2,Protana
M70-504,M69-42,Proto
Harosoy,Clark,Provar
Unspecified,Unspecified,PRX 54-59
PI 86972-1,PI 84637,PRX12-112
Harosoy,Altona,PRX54-33-2
Harosoy,Altona,PRX54-59
PI 86972-1,PI 54615-1,PRX9-249
PI 86972-1,PI 54615-1,PRX9-274
Premier,BK22-1-3,PS 42
Unspecified,Unspecified,PS 42 Ablett
Unspecified,Unspecified,PS 55
Unspecified,Unspecified,PS 73
Franklin,J74-5,Pyramid
Unknown,Unknown,Quebec 92
Asgrow A5843,Hartz H5545,R00-1029
Asgrow A5843,Hartz H5545,R00-1076
Asgrow A4715,DPL 3478,R00-1158F
Asgrow A4715,DPL 3478,R00-1178F
Asgrow A4715,DPL 3478,R00-1194F
Northrup King RA-452,R89-332,R00-155
Hartz H4994,Asgrow A5403,R00-1551
Hartz H4994,Northrup King S59-60,R00-1940
Unspecified,Unspecified,R00-2097
Unspecified,Unspecified,R00-214F
Unspecified,Unspecified,R00-2267
Unspecified,Unspecified,R00-33
MD92-5769,N90-541,R00-684
N92-195,Delsoy 5500,R00-859
HBK 4890,R96-1083,R01-1017
HBK 4890,R96-1083,R01-1018
HBK 4890,R96-1083,R01-1092
HBK 5990,R96-2361,R01-2195
V91-3036,HBK 5990,R01-2245
V91-3036,HBK 5990,R01-2346
V91-3036,HBK 5990,R01-2373
Unspecified,Unspecified,R01-315
R96-2660,HBK 5990,R01-327
R96-2660,HBK 5990,R01-330
Caviness,PI 594208,R01-3474F
Caviness,Misuzu Daizu,R01-3637F
R96-2660,HBK 5990,R01-379
Hartz H4994,N92-598,R01-4747RR
Unspecified,Unspecified,R01-4752
Hartz H4994,N92-598,R01-4752RR
Hartz H4994,N92-598,R01-4766RR
Unspecified,Unspecified,R01-4787
Hartz H4994,N92-598,R01-4804RR
Hartz H4994,N92-598,R01-4834RR
Unspecified,Unspecified,R01-81
Hartz H4994,R95-1470,R01-976
Unspecified,Unspecified,R02-1372
Unspecified,Unspecified,R02-2363
HBK 5990,Anand,R02-3065
HBK 4890,98602,R02-3263RR
Unspecified,Unspecified,R02-6232F
HBK 5990,98601,R03-1011
M91-163126,OT93-28,R03-1134
R96-209,Anand,R03-1176
Ozark,Anand,R03-1187
Pioneer P9592,KS4895,R03-1232
Pioneer P9592,KS4895,R03-1235
Pioneer P9592,KS4895,R03-1250
R95-3235,98602,R03-176
Ozark,99507,R03-224
DT96-6840,Anand,R03-263
V94-1295,Ozark,R03-862
TN93-99,R95-798,R03-946
Ozark,R00-214F,R04-122
Ozark,98601,R04-1250RR
R96-3427,98601,R04-1268RR
Desha,R00-214F,R04-170RR
SS-516,Ozark,R04-198
R97-1650,98601,R04-342
R97-1650,98601,R04-357
R97-1650,98601,R04-366
Lonoke,Pioneer P9594,R04-522
MD4900,Ozark,R04-572
R98-1682,HBK 5991,R04-632
MD4900,Ozark,R05-138
Pioneer P9594,Ozark,R05-235
P9594,Ozark,R05-269
Lonoke,S99-1171,R05-3191
Ozark,Anand,R05-3239
Lonoke,DP4748,R05-374
R96-3427,605,R05-3817
R98-1523,98601,R05-4114
Lonoke,PI 88310,R06-1270
Lonoke,S96-2692,R06-2597
Lonoke,Pioneer P9594,R06-4433
R98-3267F,R97-1832,R06-4475
S99-2281,UA4805,R07-10231
S99-2281,UA4805,R07-10244
S99-2281,UA4805,R07-10263
R97-1634,V00-3824,R07-10322
S01-9209,R01-2373,R07-1035
DP4748S,K1599,R07-1545
5002T,Ozark,R07-1685
R00-1076,R01-2373,R07-1738
R00-1551,R00-684,R07-1769
R00-1551,R01-2346,R07-1810
R00-1551,R01-315,R07-1826
R01-2373,R01-315,R07-1857
R99-2512,R01-1092,R07-1882
S01-9265,R00-1940,R07-191
R00-2267,Osage,R07-470
LS96-1631,R96-3427,R07-5351
S94-1867,Pioneer P9594,R07-6046
Lonoke,Hutcheson-RR,R07-6614RR
Lonoke,R00-33,R07-6654
Lonoke,R00-33,R07-6669
BA 743303,R00-684,R08-107
S98-1375,R97-1634,R08-1178
R00-1076,R00-1940,R08-141
R00-1551,R00-1940,R08-265
99VPI-120,S98-1375,R08-2687
V98-2711,R00-2097,R08-2776
DP4748S,K1599,R08-2797
PI 612750,R01-4787,R08-3119
5601T,R00-1940,R08-47
